Artist,Genres,Songs,Popularity,Link
Eliã Oliveira,Gospel/Religioso,165,4.2,/elia-oliveira/
Jessé Aguiar,Gospel/Religioso,15,4.5,/jesse-aguiar/
Rosa de Saron,Gospel/Religioso; Rock; Pop/Rock,165,3.1,/rosa-de-saron/
Padre Fábio de Melo,Gospel/Religioso; Romântico; Trilha Sonora,230,3.2,/fabio-de-melo/
Igreja Cristã Maranata,Gospel/Religioso,307,4.5,/igreja-crista-maranata/
Daniel e Samuel,Sertanejo; Gospel/Religioso; Romântico,294,4.2,/daniel-e-samuel/
Nívea Soares,Gospel/Religioso,123,3.3,/nivea-soares/
Soraya Moraes,Gospel/Religioso,159,3.7,/soraya-moraes/
Ministério Jovem,Gospel/Religioso,196,3,/ministerio-jovem/
David Quinlan,Pop/Rock; Gospel/Religioso,112,3.2,/david-quinlan/
Nani Azevedo,Gospel/Religioso,104,2.8,/nani-azevedo/
Kleber Lucas,Gospel/Religioso,216,3.2,/kleber-lucas/
Ministério Koinonya de Louvor,Gospel/Religioso,184,2.8,/ministerio-koinonya-de-louvor/
Coleção Amo Você,Romântico; Gospel/Religioso,148,1.4,/colecao-amo-voce/
J. Neto,Gospel/Religioso,229,2.8,/j-neto/
Ministério Trazendo A Arca,Gospel/Religioso,122,3.1,/ministerio-trazendo-a-arca/
Comunidade Católica Shalom,Gospel/Religioso,248,2.6,/comunidade-catolica-shalom/
Ozeias de Paula,Gospel/Religioso,176,2.2,/oseias-de-paula/
Léa Mendonça,Gospel/Religioso,155,2.7,/lea-mendonca/
Padre Reginaldo Manzotti,Gospel/Religioso,125,2.7,/padre-reginaldo-manzotti/
Anjos de Resgate,Gospel/Religioso,116,2,/anjos-de-resgate/
Elaine Martins,Gospel/Religioso,131,2.3,/elaine-martins/
Catedral,Pop/Rock; Gospel/Religioso; Romântico,261,1.6,/catedral/
Eliana Ribeiro,Gospel/Religioso,63,1.7,/eliana-ribeiro/
Skillet,Rock Alternativo; Rock; Hard Rock,151,2,/skillet/
Sérgio Lopes,Gospel/Religioso,231,1.7,/sergio-lopes/
Casting Crowns,Gospel/Religioso; Pop/Rock,128,1.8,/casting-crowns/
Regis Danese,Gospel/Religioso,134,2.8,/regis-danese/
Cristina Mel,Infantil; Gospel/Religioso,420,2.5,/cristina-mel/
Marcos Antonio,Gospel/Religioso,180,2,/marcos-antonio/
Davi Sacer,Gospel/Religioso,100,2,/davi-sacer/
Elaine de Jesus,Gospel/Religioso; Infantil,191,2.3,/elaine-de-jesus/
Padre Antonio Maria,Gospel/Religioso,142,1.7,/padre-antonio-maria/
Danielle Cristina,Gospel/Religioso,107,2.3,/danielle-cristina/
Lázaro,Gospel/Religioso; Axé,124,1.7,/lazaro/
Jeremy Camp,Gospel/Religioso; Rock; Pop/Rock,144,1.8,/jeremy-camp/
Michelle Nascimento,Gospel/Religioso,94,2,/michelle-nascimento/
Jozyanne,Gospel/Religioso,131,2.1,/jozyanne/
Adriana Arydes,Gospel/Religioso,132,1.6,/adriana-arydes/
Suellen Lima,Gospel/Religioso; Romântico; Sertanejo,140,1.8,/suellen-lima/
Agnus Dei,Gospel/Religioso,90,2.4,/agnus-dei/
Paulo Cesar Baruk,Gospel/Religioso,135,1.8,/paulo-cesar-baruk/
Chris Tomlin,Gospel/Religioso,124,2.6,/chris-tomlin/
Heloisa Rosa,Gospel/Religioso,87,1.8,/heloisa-rosa/
Andréa Fontes,Gospel/Religioso,198,1.8,/andrea-fontes/
Adoração & Adoradores,Gospel/Religioso,50,1.3,/adoracao-adoradores/
Alice Maciel,Gospel/Religioso,80,1.9,/alice-maciel/
Kemuel,Gospel/Religioso,64,1.8,/kemuel/
Jotta A.,Gospel/Religioso; Romântico,56,1.7,/jotta-a/
Amanda Ferrari,Gospel/Religioso,103,1.7,/amanda-ferrari/
Irmã Kelly Patricia,Gospel/Religioso,156,1.4,/irma-kelly-patricia/
Ministério Adoração e Vida,Gospel/Religioso,63,1.7,/ministerio-adoracao-e-vida/
Michael W. Smith,Gospel/Religioso,241,1.7,/michael-w-smith/
Oficina G3,Hard Rock; Pop/Rock; Rock,135,1.4,/oficina-g3/
Padre Jonas Abib,Gospel/Religioso,149,1.5,/padre-jonas-abib/
Júlia Vitória,Gospel/Religioso,12,1.6,/julia-vitoria/
Armando Filho,Gospel/Religioso,97,1.9,/armando-filho/
Leonardo Gonçalves,Gospel/Religioso; Black Music,102,1.3,/leonardo-goncalves/
Silvan Santos,Gospel/Religioso,34,1.2,/silvan-santos/
Eliane Silva,Gospel/Religioso,142,1.4,/eliane-silva/
Elias Silva,Gospel/Religioso,102,1,/elias-silva/
Flordelis,Gospel/Religioso,83,1.4,/flordelis/
Toca de Assis,Gospel/Religioso,76,1.4,/toca-de-assis/
Celina Borges,Gospel/Religioso,72,1,/celina-borges/
Rayssa e Ravel,Gospel/Religioso,217,1,/rayssa-e-ravel/
Junior (GOSPEL),Gospel/Religioso; Romântico; MPB,145,2,/junior/
Beatriz Andrade,Gospel/Religioso,116,2,/beatriz-andrade/
Vida Reluz,Gospel/Religioso; Axé; Country,82,1,/vida-reluz/
Marquinhos Gomes,Gospel/Religioso; Romântico; Instrumental,87,1,/marquinhos-gomes/
Crianças Diante do Trono,Infantil; Gospel/Religioso; Trilha Sonora,78,1,/criancas-diante-do-trono/
Arianne,Gospel/Religioso,74,0,/arianne/
Rozeane Ribeiro,Gospel/Religioso,124,1,/rozeane-ribeiro/
Mara Dalila,Gospel/Religioso,191,1.3,/mara-dalila/
Luiz de Carvalho,Gospel/Religioso,123,1,/luiz-de-carvalho/
Prisma Brasil,Gospel/Religioso,220,0,/prisma-brasil/
Asaph Borba,Gospel/Religioso,129,1,/asaph-borba/
Newsboys,Gospel/Religioso,158,1,/newsboys/
Noemi Nonato,Gospel/Religioso,215,0,/noemi-nonato/
Raquel Silva,Gospel/Religioso,46,1,/raquel-silva/
Chagas Sobrinho,Gospel/Religioso; Clássico; Disco,64,0,/chagas-sobrinho/
Apocalipse 16,Rap; Hip Hop; Gospel/Religioso,126,0,/apocalipse-16/
Padre Joãozinho,Gospel/Religioso,52,9.4,/padre-joaozinho/
Red,Rock; Gospel/Religioso; Hard Rock,84,1,/red/
Marcos Góes,Gospel/Religioso,129,1,/marcos-goes/
Ton Carfi,Pop; Gospel/Religioso,98,1.3,/ton-carfi/
Livres Para Adorar,Gospel/Religioso; Pop/Rock; Rock Alternativo,59,1,/livres-para-adorar/
Jair Pires,Gospel/Religioso,56,0,/jair-pires/
Congregação Cristã No Brasil,Gospel/Religioso; Instrumental; Clássico,86,2,/congregacao-crista-no-brasil/
Alda Célia,Gospel/Religioso,111,1,/alda-celia/
Priscilla Alcântara,Gospel/Religioso,80,1.6,/priscilla-alcantara/
Switchfoot,Pop/Rock; Gospel/Religioso; Rock,195,0.7,/switchfoot/
P.O.D.,Rock; Gospel/Religioso; Hard Rock,143,1,/p-o-d/
Gisele Nascimento,Gospel/Religioso,108,1,/gisele-nascimento/
Marco Aurélio,Gospel/Religioso,90,0,/marco-aurelio/
Vencedores Por Cristo,Gospel/Religioso,277,1,/vencedores-por-cristo/
Grupo Logos,Gospel/Religioso; Romântico; Clássico,116,0,/grupo-logos/
Celia Sakamoto,Gospel/Religioso; Axé; Black Music,114,0,/celia-sakamoto/
Giselli Cristina,Gospel/Religioso,116,1,/giselli-cristina/
Walmir Alencar,Gospel/Religioso; Romântico; Funk,73,1,/walmir-alencar/
Ministério Apascentar de Nova Iguaçu,Gospel/Religioso; Gótico; Clássico,122,0,/ministerio-apascentar-de-foz-do-iguacu/
Testemunhas de Jeová,Gospel/Religioso,140,0.5,/testemunhas-de-jeova/
Álvaro Tito,Gospel/Religioso,88,1.5,/alvaro-tito/
4x1,Gospel/Religioso; Pop/Rock; Romântico,111,1,/4x1/
Ziza Fernandes,Gospel/Religioso; MPB; Trilha Sonora,113,0,/ziza-fernandes/
Canções de Vida,Gospel/Religioso,12,0,/cancoes-de-vida/
Ministério Sarando A Terra Ferida,Gospel/Religioso; Hard Rock; Axé,77,1,/ministerio-sarando-a-terra-ferida/
Tangela Vieira,Gospel/Religioso,54,0,/tangela-vieira/
Arautos do Rei,Gospel/Religioso; Clássico; Instrumental,223,0,/arautos-do-rei/
Pr. Melvim,Gospel/Religioso; Forró; Infantil,37,0,/pr-melvim/
Comunhão e Adoração,Gospel/Religioso,32,0,/comunhao-e-adoracao/
Amy Grant,Gospel/Religioso; Trilha Sonora; Romântico,216,0,/amy-grant/
Deusiane Oliveira,Gospel/Religioso,21,0,/deusiane-oliveira/
Hinos Sud,Gospel/Religioso,221,1,/hinos-sud/
Feliciano Amaral,Gospel/Religioso,89,0,/feliciano-amaral/
Cícero Nogueira,Gospel/Religioso,86,0,/cicero-nogueira/
Melissa,Gospel/Religioso,123,0.2,/melissa/
Jamily,Gospel/Religioso; Romântico,122,1,/jamily/
Jesus Culture,Gospel/Religioso; Pop/Rock,131,1,/jesus-culture/
Rodolfo Abrantes,Gospel/Religioso; Rock,50,1,/rodolfo-abrantes/
Gislaine e Mylena,Gospel/Religioso,73,1,/gislaine-e-milena/
MercyMe,Gospel/Religioso,169,1,/mercy-me/
André e Felipe,Gospel/Religioso,74,0,/andre-e-felipe/
Raquel Mello,Gospel/Religioso,77,0,/raquel-mello/
Third Day,Gospel/Religioso; Rock; Pop/Rock,174,1,/third-day/
Vineyard Brasil,Gospel/Religioso; J-Pop/J-Rock; Hard Rock,79,0,/vineyard-brasil/
Suellen Brum,Gospel/Religioso,15,0,/suellen-brum/
Jairo Bonfim,Gospel/Religioso,74,0,/jairo-bonfim/
PG,Rock; Gospel/Religioso; Pop/Rock,121,0,/pg/
Mara Maravilha,Gospel/Religioso; Infantil,276,0,/mara-maravilha/
Mensagem Brasil,Gospel/Religioso; Bossa Nova; Axé,43,0,/mensagem-brasil/
Grupo Fogo No Pé,Gospel/Religioso; Forró; Pagode,31,0,/grupo-fogo-no-pe/
Voices,Gospel/Religioso; Romântico; Instrumental,131,0,/voices/
Ministério Pedras Vivas,Gospel/Religioso,51,1,/ministerio-pedras-vivas/
Discopraise,Gospel/Religioso; Pop/Rock; Romântico,51,0,/discopraise/
Gerson Cardozo,Gospel/Religioso; Romântico; Axé,93,0,/gerson-cardozo/
Missionário Shalom,Gospel/Religioso; Pop; Romântico,95,0,/missionario-shalom/
Sofia Cardoso,Gospel/Religioso,82,0,/sofia-cardoso/
Padre João Carlos,Gospel/Religioso,79,0,/padre-joao-carlos/
Louvor e Glória,Gospel/Religioso; World Music; Romântico,58,0,/banda-louvor-e-gloria/
Pamela,Romântico; Gospel/Religioso; Pop,131,0,/pamela/
Kari Jobe,Gospel/Religioso,91,0,/kari-jobe/
Comunidade Internacional da Zona Sul,Gospel/Religioso; Clássico; Rock,103,0,/comunidade-internacional-da-zona-sul/
Os Levitas,Gospel/Religioso,94,0,/os-levitas/
Tamires Nascimento,Gospel/Religioso,24,0,/tamires-nascimento/
Rodox,Rock; Gospel/Religioso; Hardcore,29,0,/rodox/
Adilson Silva,Gospel/Religioso,88,0,/adilson-silva/
Ariely Bonatti,Gospel/Religioso; Romântico; Pop,87,0,/ariely-bonatti/
Alessandra Samadello,Gospel/Religioso; Infantil; Instrumental,157,0,/alessandra-samadello/
Filhos do Homem,Gospel/Religioso; Pop/Rock; World Music,104,0,/filhos-do-homem/
Cassiane e Jairinho,Gospel/Religioso,83,0,/cassiane-jairinho/
Robinson Monteiro,Gospel/Religioso,92,0,/robinson-monteiro/
Fernando Iglesias,Gospel/Religioso,91,0,/fernando-iglesias/
Marcos Witt,Gospel/Religioso,131,0,/marcos-witt/
Amara Cerqueira,Gospel/Religioso,10,0,/amara-cerqueira/
Zé Marco e Adriano,Gospel/Religioso; Sertanejo,72,0,/ze-marco-e-adriano/
Toby Mac,Rock; Gospel/Religioso,103,0,/toby-mac/
Ministério Ipiranga,Gospel/Religioso,67,0,/ministerio-ipiranga/
Lecrae,Hip Hop; Gospel/Religioso; Rap,91,0,/lecrae/
Georgete Rocha,Gospel/Religioso,66,0,/georgete-rocha/
Padre Juarez de Castro,Sertanejo; Gospel/Religioso; Bossa Nova,66,0,/padre-juarez-de-castro/
Aline Brasil,Gospel/Religioso,49,0,/aline-brasil/
Gisele Cristina,Gospel/Religioso; Infantil,37,0,/gisele-cristina/
Daniel Ludtke,Gospel/Religioso,62,0,/daniel-ludtke/
Resgate,Gospel/Religioso; Rock,124,0,/resgate/
Marcelo Crivella,Gospel/Religioso,130,0,/marcelo-crivella/
Wilian Nascimento,Gospel/Religioso,82,0,/wilian-nascimento/
Rafaela Pinho,Gospel/Religioso; Instrumental; Clássico,67,0,/rafaela-pinho/
Dunga,Gospel/Religioso; Sertanejo; Electronica,72,0,/dunga/
Igreja Batista de Nova Jerusalém,Gospel/Religioso; Instrumental; Romântico,83,0,/igreja-batista-de-nova-jerusalem/
Valquíria de Oliveira,Gospel/Religioso,78,0,/valquiria-de-oliveira/
Fernanda Brum e Eyshila,Gospel/Religioso; Romântico; Trilha Sonora,22,0,/fernanda-brum-e-eyshila/
Conceição Cabral,Gospel/Religioso,47,0,/conceicao-cabral/
Padre Agnaldo José,Gospel/Religioso,42,0,/padre-agnaldo-jose/
Coral Resgate,Gospel/Religioso; Black Music; Ska,49,0,/coral-resgate/
Stryper,Gospel/Religioso; Hard Rock,99,0,/stryper/
Mariana Valadão,Gospel/Religioso,80,0,/mariana-valadao/
Kim,Gospel/Religioso,140,0,/kim/
Igreja Batista da Lagoinha,Gospel/Religioso; Infantil; Dance,154,0,/igreja-batista-da-lagoinha/
Tony e Tito,Gospel/Religioso,65,0,/tony-e-tito/
Daniela Araújo,Pop; Gospel/Religioso,78,0,/daniela-araujo/
Shirley Kaiser,Gospel/Religioso; Pop; Axé,76,0,/shirley-kaiser/
Warren Barfield,Gospel/Religioso; Romântico; Pop/Rock,29,1,/warren-barfield/
Cleidimar Moreira,Gospel/Religioso,21,0,/cleidimar-moreira/
Débora e Léia,Gospel/Religioso,64,0,/debora-e-leia/
Santa Geração,Gospel/Religioso; Romântico; Clássico,126,0,/santa-geracao/
Adryana Ribeiro,Gospel/Religioso; Pagode,71,0,/adriana-ribeiro/
Daniel Souza,Gospel/Religioso,72,0,/daniel-souza/
Marcelo Nascimento,Gospel/Religioso; Axé; MPB,78,0,/marcelo-nascimento/
Bruna Olly,Gospel/Religioso,77,0,/bruna-olly/
Marcelo Aguiar,Gospel/Religioso,59,0,/marcelo-aguiar/
Leonor,Gospel/Religioso; Axé; Clássico,38,0,/leonor/
Equipe Obra de Amor,Gospel/Religioso; Instrumental; Clássico,51,0,/equipe-obra-de-amor/
Chris Durán,Gospel/Religioso,88,0,/chris-duran/
Gaither Vocal Band,Gospel/Religioso,133,0,/gaither-vocal-band/
Demon Hunter,Heavy Metal; Gospel/Religioso; Rock,104,0,/demon-hunter/
Som e Louvor,Gospel/Religioso,86,0,/som-e-louvor/
Igreja Batista do Morumbi,Gospel/Religioso,12,0,/igreja-batista-do-morumbi/
Altos Louvores,Gospel/Religioso,82,0,/altos-louvores/
Ricardo Sá,Gospel/Religioso; Axé,93,0,/ricardo-sa/
Márcia Bandeira,Gospel/Religioso; Axé; Bossa Nova,101,0,/marcia-bandeira/
Lydia Moises,Gospel/Religioso,90,0,/lydia-moises/
Banda Dom,Gospel/Religioso; Pop/Rock; Soft Rock,34,0,/banda-dom/
Projeto Vida Nova de Irajá,Gospel/Religioso; Black Music,62,0,/projeto-vida-nova-de-iraja/
Jesus Adrian Romero,Gospel/Religioso; Instrumental; Clássico,133,0,/jesus-adrian-romero/
Antônio Cirilo,Gospel/Religioso,115,0,/antonio-cirilo/
Diácono Nelsinho Corrêa,Gospel/Religioso; Axé; Instrumental,53,0,/diacono-nelsinho-correa/
Raquel Santiago,Gospel/Religioso,4,1.6,/raquel-santiago/
Paulo André,Gospel/Religioso,46,0,/paulo-andre/
Gerusa Barros,Gospel/Religioso,52,0,/gerusa-barros/
Pimentas,Romântico; Gospel/Religioso; Pop,52,0,/pimentas/
Alex Gonzaga,Gospel/Religioso; Romântico; Pop/Rock,48,0,/alex-gonzaga/
Denise Cerqueira,Gospel/Religioso; Romântico; Pop,68,0,/denise-cerqueira/
Fireflight,Gospel/Religioso; Rock; Rock Alternativo,72,0,/fireflight/
The Caravans,Gospel/Religioso,5,0,/the-caravans/
Paulo Figueiró,Gospel/Religioso; Axé,58,0,/paulo-figueiro/
Brooke Fraser,Gospel/Religioso; Romântico; Pop,62,0,/brooke-fraser/
Josyane Menezes,Gospel/Religioso,7,0,/josyane-menezes/
Trio Nascimento,Gospel/Religioso,27,0,/trio-nascimento/
Iveline,Gospel/Religioso; Romântico; Pop,78,0,/iveline/
Eros Biondini,Gospel/Religioso; Axé; Clássico,81,0,/eros-biondini/
Salette Ferreira,Gospel/Religioso; Pop/Punk,30,0,/salette-ferreira/
Cantores de Deus,Gospel/Religioso; Clássico; Axé,52,0,/cantores-de-deus/
Canarinhos de Cristo,Gospel/Religioso,65,0,/canarinhos-de-cristo/
Palavrantiga,Gospel/Religioso,29,0,/palavrantiga/
Dalvinha,Gospel/Religioso,53,0,/dalvinha/
Nova Voz,Gospel/Religioso,44,0,/nova-voz/
Turma do Barulho,Gospel/Religioso; Infantil,62,0,/turma-do-barulho/
Flyleaf,Rock; Hard Rock; Gospel/Religioso,92,0,/flyleaf/
Flavinho,Gospel/Religioso; Romântico; Jovem Guarda,39,0,/flavinho/
Ministério Unção Ágape,Gospel/Religioso; Pagode; New Age,54,0,/ministerio-uncao-agape/
Radicais Kids,Gospel/Religioso,38,0,/radicais-kids/
Padre Ezequiel dal Pozzo,Gospel/Religioso,33,0,/padre-ezequiel-dal-pozzo/
12 Stones,Rock; Gospel/Religioso; Hard Rock,75,0,/12-stones/
Lucely Uchôa,Gospel/Religioso; Country; Funk,33,0,/lucely-uchoa/
Sandi Patty,Gospel/Religioso; Hard Rock,215,0,/sandi-patty/
Alceu Pires,Gospel/Religioso,18,0,/alceu-pires/
Ellas,Gospel/Religioso; Romântico; Black Music,80,0,/grupo-ellas/
Britt Nicole,Gospel/Religioso; Pop; Pop/Rock,63,0,/britt-nicole/
Bola de Neve Church,Gospel/Religioso; Reggae; Surf Music,75,0,/bola-de-neve-church/
Art'trio,Gospel/Religioso; Romântico,46,0,/arttrio/
Sandrinha,Gospel/Religioso,105,0,/sandrinha/
Banda Leão de Judá Resgatados,Gospel/Religioso,5,0,/banda-leao-de-juda-resgatados/
Bruna Barbosa,Gospel/Religioso; Rock; Hardcore,25,0,/bruna-barbosa/
Renato Suhett,Gospel/Religioso,67,0,/renato-suhett/
Márcio Pinheiro,Gospel/Religioso,52,0,/marcio-pinheiro/
Henrique Cerqueira,Gospel/Religioso; Romântico; MPB,77,0,/henrique-cerqueira/
Fred Arrais,Gospel/Religioso; World Music; Rock,49,0,/fred-arrais/
Dominic Balli,Reggae; Gospel/Religioso; Surf Music,37,0,/dominic-balli/
Liz Lanne,Gospel/Religioso; Trilha Sonora; Instrumental,108,0,/liz-lanne/
Promises,Gospel/Religioso; Romântico; Pop/Rock,46,0,/promises/
Suely Façanha,Gospel/Religioso,81,0,/suely-facanha/
Paloma Gomes,Gospel/Religioso,9,0,/paloma-gomes/
Marcelo Dias e Fabiana,Gospel/Religioso; Clássico,64,0,/marcelo-dias-e-fabiana/
Kingdom Movement,Gospel/Religioso,3,1,/kingdom-movement/
Marta Valéria,Gospel/Religioso,27,0,/marta-valeria/
Diego Fernandes,Gospel/Religioso,30,0,/diego-fernandes/
Point of Grace,Gospel/Religioso,145,0,/point-of-grace/
Igreja Bíblica da Paz,Gospel/Religioso; Pop,76,0,/igreja-biblica-da-paz/
Débora e Ereni,Gospel/Religioso; Clássico,58,0,/debora-e-ereni/
Niquésia Santos,Gospel/Religioso; Romântico,80,0,/niquesia-santos/
Juliana Santiago,Gospel/Religioso; Axé; Jazz,25,0,/juliana-santiago/
Comunidade Evangélica de Maringá,Gospel/Religioso; Heavy Metal,47,0,/comunidade-evangelica-de-maringa/
Adrielle Lopes,Gospel/Religioso; Pop; Pop/Rock,33,0,/adrielle-lopes/
Tatiana Costa,Gospel/Religioso; Romântico; Clássico,25,0,/tatiana-costa/
Ministério Além do Véu,Gospel/Religioso; Clássico; Jazz,29,0,/ministerio-alem-do-veu/
Keila Miranda,Gospel/Religioso; Sertanejo; Romântico,29,0,/keila-miranda/
Stacie Orrico,Gospel/Religioso; Pop; Romântico,64,0,/stace-orrico/
Priscilla Gollub,Gospel/Religioso; Pop/Rock; Hard Rock,41,0,/priscilla-gollub/
Miria Mical,Gospel/Religioso; Infantil; Axé,31,0,/miria-mical/
Fruto Sagrado,Gospel/Religioso; Rock; Rock Alternativo,70,0,/fruto-sagrado/
Khorus,Gospel/Religioso; Pop/Rock; Romântico,98,0,/khorus/
Thayara,Gospel/Religioso,25,0,/thayara/
BarlowGirl,Pop/Rock; Rock; Gospel/Religioso,63,0,/barlowgirl/
Léo Jundi,Gospel/Religioso; Instrumental; Clássico,67,0,/leo-jundi/
Delirious,Gospel/Religioso; Pop/Rock; Rock,140,0,/delirious/
Banda Mundial,Gospel/Religioso,25,0,/banda-mundial/
Obede E Tainá,Gospel/Religioso,21,0,/obede-e-taina/
Cantora Eliziane,Gospel/Religioso,4,0,/cantora-eliziane/
Fernanda Lara,Gospel/Religioso; Axé; Pop,48,0,/fernanda-lara/
Marina de Oliveira,Gospel/Religioso; Romântico; Pop,200,0,/marina-de-oliveira/
Gabriela Rocha & Elias Dos Santos,Gospel/Religioso; Instrumental; World Music,13,0,/gabriela-rocha-elias-dos-santosirmaos-na-fe/
Damaris,Gospel/Religioso; Disco; Rock,23,0,/damaris/
Jaci Velasquez,Gospel/Religioso; Pop; Romântico,158,0,/jaci-velasquez/
Rebeca Carvalho,Pop/Rock; Pop; Gospel/Religioso,12,0,/rebeca-carvalho/
Cricia Martins,Gospel/Religioso; Funk Carioca,12,0,/cricia-martins/
Fabyano Barcellos,Gospel/Religioso; Clássico,9,0,/fabyano-barcellos/
Sostenes Mendes,Gospel/Religioso,52,0,/sostenes-mendes/
Thiago Grulha,Gospel/Religioso; Romântico; Hard Rock,56,0,/thiago-grulha/
Alexandre Bernardino,Gospel/Religioso; Clássico; Instrumental,32,0,/alexandre-bernardino/
Karla Monteiro,Gospel/Religioso,19,0,/karla-monteiro/
Jeanne Mascarenhas,Gospel/Religioso; Forró; Pop,73,0,/jeanne-mascarenhas/
Lucas Souza,Gospel/Religioso; Pop/Rock; Pop,56,0,/lucas-souza/
Luiz Artur,Gospel/Religioso; Rock,44,0,/luiz-artur/
Eterna,Gospel/Religioso; Heavy Metal; Rock,62,0,/eterna/
Ministério Trindade Santa,Gospel/Religioso,5,0,/ministerio-trindade-santa/
Take 6,Gospel/Religioso; Jazz; Black Music,82,0,/take-6/
Ministério Nova Geração,Gospel/Religioso; Hip Hop,29,0,/ministerio-nova-geracao/
Dominus,Gospel/Religioso; Axé,54,0,/dominus/
Joe Vasconcelos,Gospel/Religioso; Electronica; Dance,38,0,/joe-vasconcelos-maravilhado/
Provérbio X,Gospel/Religioso; Rap,52,0,/proverbio-x/
Ministério Unção de Deus,Gospel/Religioso; Pop,29,0,/ministerio-uncao-de-deus/
Luciano Santhiago,Gospel/Religioso,16,0,/luciano-santhiago/
José Carlos,Gospel/Religioso; Romântico,44,0,/jose-carlos/
Doidin de Deus,Gospel/Religioso; Forró; Axé,34,0,/doidin-de-deus/
Atmosfera de Adoração,Gospel/Religioso; Pop/Rock; Dance,43,0,/atmosfera-de-adoracao/
Davi Silva,Gospel/Religioso; Soul Music; Funk,52,0,/davi-silva/
Grupo Acorde,Gospel/Religioso; World Music; Hard Rock,20,0,/grupo-acorde/
Rede Ativa,Gospel/Religioso; Pop/Rock; Rock,56,0,/rede-ativa/
Ministério Novo Tempo,Gospel/Religioso,40,0,/ministerio-novo-tempo/
Adriana Marques,Gospel/Religioso,45,0,/adriana-marques/
Arena Louvor,Gospel/Religioso; J-Pop/J-Rock; Axé,56,0,/arena-louvor/
Alex & Alex,Gospel/Religioso; Romântico; Black Music,54,0,/alex-alex/
As I Lay Dying,Heavy Metal; Hardcore; Gospel/Religioso,90,0,/as-i-lay-dying/
Coral Resgate Para Vida,Gospel/Religioso; Soul Music; Black Music,44,0,/coral-resgate-para-vida/
Roberta Di Angellis,Gospel/Religioso,35,0,/roberta-di-angellis/
Reginaldo Domingos,Gospel/Religioso,9,0,/reginaldo-domingos/
Selah,Gospel/Religioso,70,0,/selah/
Brenda Dos Santos,Gospel/Religioso; Instrumental; Pop,31,0,/brenda-dos-santos/
Ministério Asas da Adoração,Gospel/Religioso; Jovem Guarda,21,0,/ministerio-asas-da-adoracao/
Midiã Reis,Gospel/Religioso,6,0,/midia-reis/
Metal Nobre,Gospel/Religioso; Rock; Heavy Metal,51,0,/metal-nobre/
Deise do Vale,Gospel/Religioso; Infantil,33,0,/deise-do-vale/
Mylla Karvalho,Gospel/Religioso,45,0,/mylla-karvalho/
Eduardo Cardozo,Gospel/Religioso,21,0,/eduardo-cardozo/
Márcia Silva,Gospel/Religioso,52,0,/marcia-silva/
Padre Léo,Gospel/Religioso; Axé; Clássico,10,0,/padre-leo/
Vanilda Albuquerque,Gospel/Religioso,23,0,/vanilda-albuquerque/
Dany Grace,Gospel/Religioso,53,0,/dany-grace/
Ministério Estratégia,Gospel/Religioso; Hip Hop; Rap,15,0,/ministerio-estrategia/
DJ Alpiste,Gospel/Religioso; Hip Hop; Rap,70,0,/dj-alpiste/
Cris Deziró,Gospel/Religioso,35,0,/cris-deziro/
Dayane Damasceno,Gospel/Religioso; Dance; Electronica,10,0,/dayane-damasceno/
Silvio Dória,Gospel/Religioso,6,0,/silvio-doria/
Banda Giom,Gospel/Religioso; Romântico; Pop/Rock,63,0,/banda-giom/
Cinthya Miranda,Gospel/Religioso,5,0,/cinthya-miranda/
LUDI,Gospel/Religioso,6,0.1,/ludi/
Leeland,Gospel/Religioso; Pop/Rock; Rock,67,0,/leeland/
Nadson Portugal,Gospel/Religioso; Black Music,18,0,/nadson-portugal/
Andy Mineo,Rap; Gospel/Religioso; Hip Hop,29,0,/andy-mineo/
For Today,Gospel/Religioso; Hardcore; Heavy Metal,58,0,/for-today/
Heritage Singers,Gospel/Religioso,85,0,/heritage-singers/
Laura Morena,Gospel/Religioso; Instrumental; Romântico,29,0,/laura-morena/
Wládia Leyliane,Gospel/Religioso; Instrumental; Axé,25,0,/wladia-leyliane/
Giesley Mota,Gospel/Religioso,56,0,/giesley-mota/
Tiago e André Arrais,Gospel/Religioso; Indie; Folk,27,0,/andre-e-thiago-arrais/
Alyne Couto,Gospel/Religioso; Blues,14,0,/alyne-couto/
Nívea Silva,Gospel/Religioso,41,0,/nivea-silva/
Daniel Costa,Gospel/Religioso; Pop,32,0,/daniel-costa/
The Edwin Hawkins Singers,Gospel/Religioso; Jazz,13,0,/the-edwin-hawkins-singers/
Melosweet,Gospel/Religioso; Romântico; Instrumental,58,0,/melosweet/
Laércio Oliveira,Gospel/Religioso,37,0,/laercio-oliveira/
Gilson Campos,Gospel/Religioso; Clássico; MPB,31,0,/gilson-campos/
Kutless,Gospel/Religioso; Rock; Pop/Rock,110,0,/kutless/
Graziela,Gospel/Religioso; Axé; Forró,33,0,/graziela/
Underoath,Hardcore; Gospel/Religioso; Rock,81,0,/underoath/
Pr. Marco Feliciano,Gospel/Religioso; Romântico; Emocore,15,0,/pr-marco-feliciano/
Jessyca,Gospel/Religioso,30,0,/jessyca/
Pra Tua Glória,Gospel/Religioso,5,0,/pra-tua-gloria/
Marsena,Gospel/Religioso,14,0,/marsena/
Léia Sora,Gospel/Religioso; Forró,35,0,/leia-sora/
